iter	RMSE
0	0.5039012436
1	0.4511039013
2	0.4052398686
3	0.3650476534
4	0.3299729828
5	0.3000609839
6	0.2737346703
7	0.2509124938
8	0.2309483193
9	0.2132797269
10	0.1983169016
11	0.1857161439
12	0.1746937186
13	0.1654603058
14	0.1574575059
15	0.1504090192
16	0.1445021061
17	0.1393006159
18	0.1348582227
19	0.1312623658
20	0.1277780857
21	0.1251117862
22	0.1223721211
23	0.1202459417
24	0.1182644302
25	0.1164451764
26	0.1148220833
27	0.1133432321
28	0.1121616996
29	0.110834949
30	0.1096746043
31	0.1082963062
32	0.1073417809
33	0.1062373886
34	0.1054755735
35	0.1047262176
36	0.1041797377
37	0.1035214368
38	0.1027989103
39	0.1020380002
40	0.1013997237
41	0.1009286559
42	0.1001593294
43	0.09962718538
44	0.09900061516
45	0.09843783988
46	0.09793029721
47	0.09748391161
48	0.09696469362
49	0.09634200979
50	0.09595661369
51	0.0955463701
52	0.09517546021
53	0.09475849565
54	0.09436464835
55	0.09392362031
56	0.09357084978
57	0.09325712916
58	0.09288987605
59	0.09245946677
60	0.09213263007
61	0.09179550088
62	0.09155559151
63	0.09123886555
64	0.09097225646
65	0.0906917651
66	0.09033976383
67	0.08996922809
68	0.0896907499
69	0.08943939623
70	0.0891622332
71	0.08895123983
72	0.08860498165
73	0.08833718933
74	0.08814861029
75	0.08786858879
76	0.0876759365
77	0.08728926729
78	0.08705799709
79	0.08677601695
80	0.08650645538
81	0.08632731022
82	0.08609434379
83	0.08587332558
84	0.08559172513
85	0.08532829915
86	0.08513738989
87	0.08497130643
88	0.08476670944
89	0.08453017824
90	0.08431792682
91	0.0841647465
92	0.08394205166
93	0.08367678894
94	0.08349581431
95	0.08332673534
96	0.08319518916
97	0.08307237631
98	0.0827911104
99	0.08252891978
100	0.08233082966
101	0.08219151526
102	0.08205034498
103	0.08183476513
104	0.0816163078
105	0.08141738517
106	0.0812048521
107	0.08104784301
108	0.08090240383
109	0.08077366707
110	0.08062253286
111	0.08043178748
112	0.08028898783
113	0.080167402
114	0.07999688748
115	0.07987615836
116	0.07969189848
117	0.07944936301
118	0.07931125568
119	0.07920167438
120	0.0790980182
121	0.07892611708
122	0.07877652175
123	0.07866524115
124	0.07856319221
125	0.07840744452
126	0.07828532087
127	0.07819223649
128	0.07807528214
129	0.07797989475
130	0.07789993769
131	0.07771055291
132	0.07755861698
133	0.07741967546
134	0.07733333205
135	0.07725226111
136	0.07715612577
137	0.07703581765
138	0.07689569377
139	0.07678807428
140	0.07670396225
141	0.07663077091
142	0.07650450645
143	0.07638349482
144	0.07622699819
145	0.07614671656
146	0.07603135259
147	0.07596203632
148	0.07588958816
149	0.07583395714
150	0.07570153804
151	0.07559637719
152	0.07545839938
153	0.07537545135
154	0.07529421046
155	0.07515469818
156	0.07503920208
157	0.07489338806
158	0.07477135309
159	0.07468223669
160	0.07458589983
161	0.07450466754
162	0.07443039994
163	0.07434844203
164	0.07428531642
165	0.07418287929
166	0.07412784985
167	0.07404285621
168	0.07397874608
169	0.07388294211
170	0.07382467857
171	0.07375022993
172	0.0736857883
173	0.07362877531
174	0.07355035539
175	0.07347465677
176	0.07341823972
177	0.07334263893
178	0.07330356919
179	0.07322959802
180	0.07316787567
181	0.07311209735
182	0.07302950715
183	0.07295923076
184	0.07289656238
185	0.07282449402
186	0.07275012654
187	0.07266971629
188	0.07260170635
189	0.0725440588
190	0.07248629412
191	0.07241078479
192	0.07236273242
193	0.07228821146
194	0.07223268923
195	0.07217507064
196	0.07210784834
197	0.07202248814
198	0.07192124142
199	0.07188555637
200	0.07183227362
201	0.071782631
202	0.07172816759
203	0.07167804718
204	0.07159544305
205	0.07154691488
206	0.0715063846
207	0.07142379615
208	0.07135700319
209	0.0712892992
210	0.07123654461
211	0.07118620019
212	0.07112961521
213	0.07109711101
214	0.0710438534
215	0.07100461105
216	0.07095536802
217	0.07089162057
218	0.0708530361
219	0.07081672581
220	0.07074424594
221	0.07070553149
222	0.07062899636
223	0.07059120399
224	0.07054082277
225	0.07050123993
226	0.07043803426
227	0.07040837995
228	0.07032684538
229	0.07027570764
230	0.07022795474
231	0.07017614336
232	0.07013193017
233	0.07008391082
234	0.07001982767
235	0.06998591294
236	0.06994836475
237	0.06988554853
238	0.06984922025
239	0.06981386729
240	0.06974375823
241	0.06969699343
242	0.06963917246
243	0.06960894309
244	0.06957079345
245	0.06953005741
246	0.06948152712
247	0.06941604069
248	0.06934283829
249	0.06929073583
250	0.06926104538
251	0.06920763884
252	0.06918373545
253	0.06915799757
254	0.06913185893
255	0.06907287838
256	0.06901728445
257	0.06898311687
258	0.06895273445
259	0.06891505865
260	0.06885137734
261	0.06881268601
262	0.06877757785
263	0.06874169578
264	0.06869284867
265	0.06865933752
266	0.06863324741
267	0.06859484481
268	0.06854051467
269	0.06850099789
270	0.06847476979
271	0.06842332339
272	0.06837059626
273	0.06833055639
274	0.06829840894
275	0.06826544717
276	0.06823806059
277	0.06821113411
278	0.06817441746
279	0.06814696797
280	0.06812990937
281	0.06809424658
282	0.06807301
283	0.0680406467
284	0.06801794653
285	0.06798846572
286	0.06796030697
287	0.0679295178
288	0.06789405655
289	0.06786462441
290	0.06783648514
291	0.06780728104
292	0.0677916078
293	0.06774425363
294	0.06770681503
295	0.06767605274
296	0.06763979095
297	0.06760290831
298	0.06756336552
299	0.06752619567
300	0.06750379047
301	0.06747437982
302	0.06745256129
303	0.06741780562
304	0.06737871293
305	0.06734308703
306	0.06732092187
307	0.06729206785
308	0.06726555142
309	0.06723343031
310	0.06720293137
311	0.06718744159
312	0.06716820523
313	0.06714858128
314	0.06712590762
315	0.06708827138
316	0.06705787462
317	0.06704184438
318	0.06702285259
319	0.06698393914
320	0.06696163593
321	0.06691966859
322	0.06687925553
323	0.06685154
324	0.06682318411
325	0.06678206642
326	0.06676072866
327	0.06673896452
328	0.06671345892
329	0.06668049698
330	0.06665562832
331	0.06663426793
332	0.06661355311
333	0.06659021785
334	0.06657247182
335	0.06654879669
336	0.06650932775
337	0.06646567815
338	0.06644991089
339	0.0664211611
340	0.0664039742
341	0.06638005624
342	0.06635829518
343	0.06634072881
344	0.06630693952
345	0.06628363818
346	0.06626281313
347	0.06622195559
348	0.06619412962
349	0.06617781626
350	0.06616424986
351	0.06612284952
352	0.06610876873
353	0.06609073014
354	0.06606286837
355	0.0660394407
356	0.06601301759
357	0.06599983157
358	0.06597693482
359	0.06596095734
360	0.06590805593
361	0.06588649487
362	0.0658667112
363	0.06584925404
364	0.06583425259
365	0.06581243367
366	0.06579247552
367	0.06574996561
368	0.06573321232
369	0.06570857075
370	0.06568588642
371	0.0656698046
372	0.06565201245
373	0.06563460939
374	0.06561469502
375	0.06558840225
376	0.06557240593
377	0.06555606255
378	0.06554125547
379	0.06552757173
380	0.06551313692
381	0.06549542937
382	0.06547324349
383	0.06544994381
384	0.06543216788
385	0.06540670561
386	0.06538307244
387	0.06535364624
388	0.06533686565
389	0.06532075008
390	0.06528565794
391	0.06527010751
392	0.06525185477
393	0.06523214023
394	0.06521146991
395	0.06518415385
396	0.06516491402
397	0.06514974264
398	0.06513190114
399	0.06511084795
400	0.06506966284
401	0.06505412895
402	0.06503926203
403	0.06501326644
404	0.06499527522
405	0.06497507634
406	0.06494643349
407	0.06492150934
408	0.06490860607
409	0.0648842288
410	0.06487139727
411	0.06484808467
412	0.06482069938
